terms,subtopic
"will disclose personal information when you post content which is visible to others on the Service, when you consent or instruct us to share your personal information with third parties, or when we have a legitimate business or legal need to share your information.ï¿½",share or transfer data
"Certain features and functions of the Service shares or makes your information accessible to others as with most online services, once you make your Personal Information available to others online, it may be collected and used by the recipients or any other website visitor without restriction.",share or transfer data
You may wish to use a nickname or alias in your profile if you do not want your personal information shared with others in this way.ï¿½,share or transfer data
"When you post a question or answer to the Service, your profile, which could include your name, short biography, and city-level location, as well as the content of your posted comment, is visible to others on the Service.",share or transfer data
"When your account is connected to a Coach on the Service, the Coach will be able to see your profile information and your activities on the Service, such as which videos you have watched, the questions and responses you post, and other usage information. Coaches may also be able to see your name (not only your username) as well as your email address, if you include that information in your account profile.",share or transfer data
ï¿½Some of our users choose to connect their  account with social networks and functionality is entirely optional.ï¿½,share or transfer data
"If you have explicitly agreed that we may do so,  may disclose your Personal Information through a social network or similar service (like Facebook or google) and o control the information that you share, you have the option of modifying your service or social network settings or disconnecting your social network account from your service account.",share or transfer data
"ï¿½Third-party application developers and service providers (commonly known as ï¿½App Developersï¿½) may build complementary services for our platform, such as a mobile application for visually-impaired learners to access our resources, or may use our content to build unaffiliated applications and services.ï¿½",share or transfer data
"If you connect your account to an application or service, or approve access to your account by a third party application or service, you consent to Khan Academy sharing your information with that third party.",share or transfer data
"If you participate in special programs where our partners with third parties,  may share data collected from or about you with its third party partners to facilitate the program or services being offered, for instance, if you participate in our program with College Board,  may share information regarding your study habits, tests taken, and test scores with College Board and these program partners may use your information we share with them as described in their own privacy policies.",share or transfer data
"we do not share your Personal Information with third-party organizations for their marketing or promotional use without your consent, for instances, you may be able to grant us permission to share your Personal Information with authorized partners, not-for-profit organizations, and other entities that are not affiliated with our service and in these cases, we will only provide to these third parties the information you have authorized or asked us to share to these third parties and you may also choose to share content with others by email, or by posting our content to social media sites such as Facebook or Twitter and these third parties may use your information as described in their own privacy policies.",share or transfer data
"We may use data which has been de-identified and/or aggregated for product development, research, analytics and other purposes, including for the purpose of analyzing, improving, or marketing our Services.ï¿½",share or transfer data
"ï¿½In certain occasions, may share this data with business partners to improve our services or offerings and if we disclose information to authorized business partners to conduct research on online education or assist in understanding the usage, viewing, and demographic patterns for certain programs, content, services, promotions, and/or functionality on our Service, such data will be aggregated and/or anonymized to reasonably avoid identification of a specific individual.",share or transfer data
"may share information with our employees and trusted vendors, third party service providers and other individuals to provide services or products for us or on our behalf, which could include analytics, hosting, marketing and similar services and when we share personal information with third party service providers or vendors, these third parties are contractually obligated to maintain the security and confidentiality of that personal information.",share or transfer data
"In the event that our service is involved in a merger, acquisition, bankruptcy, change of control, or any form of sale of some or all of our assets, your personal information may be transferred or disclosed in connection with such business transaction amd if the transaction involves the transfer of Student Records to a third party, we will require the new owner to continue to honor the terms provided in this Privacy Policy, or we will provide the School with notice and an opportunity to opt-out of the transfer of Student Records by deleting Student Records before the transfer occurs.",share or transfer data
"Partner sites providing Content Offering related tools and services to our users may collect nonfinancial individual level user data regarding the individualï¿½s use of that partner site while the partner sites provide those services to our and the partner sites may share that data with our service for the purpose of improving ourï¿½s Services, the partner siteï¿½s services, and the individualï¿½s education experience and this data includes information such as the amount of time spent on the partner site and pages viewed.",share or transfer data
"We may also share your Personally Identifiable Information and your performance in a given Content Offering with the instructor or instructors who taught it, with teaching assistants or other individuals designated by the instructor or instructors to assist with the creation, modification, or operation of the Content Offering, and with the Content Provider(s) with which they are affiliated.ï¿½",share or transfer data
We may share your Personally Identifiable Information with Content Providers and other business partners of service so that Content Providers and other business partners may share information about their products and services that may be of interest to you where they are legally entitled to do so.,share or transfer data
"We may share general course data (including quiz or assignment submissions, grades, and forum discussions), information about your activity on our Site, and demographic data from surveys operated by us with our Content Providers and other business partners so that our Content Providers and other business partners may use the data for research related to online education.",share or transfer data
"we may share your Personally Identifiable Information with various government authorities in response to subpoenas, court orders, or other legal process; to establish or exercise our legal rights or to protect our property; to defend against legal claims; or as otherwise required by law and in such cases we reserve the right to raise or waive any legal objection or right available to us. ",share or transfer data
"we may disclose and/or transfer your Personally Identifiable Information to an acquirer, assignee or other successor entity in connection with a sale, merger, or reorganization of all or substantially all of the equity, business, or assets of our service to which your Personally Identifiable Information relates.",share or transfer data
"Your profile is fully visible to all Members and customers of our Services. Subject to yourï¿½settings, it can also be visible to others on or off of our Services (e.g., Visitors to our Services or users of third- party search engines).ï¿½",share or transfer data
"When you share an article or a post (e.g., an update, image, video or article) publicly it can be viewed by everyone and re-shared anywhere (subject to yourï¿½settings) and members, Visitors and others will be able to find and see your publicly-shared content, including your name (and photo if you have provided one).",share or transfer data
"In aï¿½group, posts are visible to others in the group and your membership in groups is public and part of your profile, but you can change visibility in yourï¿½settings.",share or transfer data
Any information you share through companiesï¿½ or other organizationsï¿½ pages on our Services will be viewable by it and others who visit those pages.,share or transfer data
"When you follow a person or organization, you are visible to others and that ï¿½page ownerï¿½ as a follower.",share or transfer data
"We let senders know when you act on their message, subject to yourï¿½settingsï¿½where applicable.",share or transfer data
"We can also share your personal data as part of a sale, merger or change in control, or in preparation for any of these events and any other entity which buys us or part of our business will have the right to continue to use your data, but only in the manner set out in this Privacy Policy unless you agree otherwise.",share or transfer data
We will share your personal data with our affiliates to provide and develop our Services.,share or transfer data
We may combine information internally across the different Services covered by this Privacy Policy to help our Services be more relevant and useful to you and others.,share or transfer data
our service do not display any targeted advertising on our Service.,third parties and online advertising
"ï¿½However, we participate in interest-based advertising and use third party advertising companies to serve you targeted advertisements on other websites, apps or services, including on Facebook and other social networks, or on other devices you may use.",third parties and online advertising
"These third party ad networks use tracking technologies to recognize your browser or device and to collect information about your visit to our Service to provide you customized content, advertising and commercial messages which may be more relevant to your interests, as well as to provide advertising-related services such as reporting, attribution, analytics and market research.",third parties and online advertising
"Please note that we use our best efforts and take multiple steps to avoid the collection of information for targeted advertising purposes when we believe the Service is being used by students or children under 13, for example, we take steps to inhibit these third party advertising networks from collecting information for targeted advertising purposes on webpages with child-directed content or when a student or child user logs into the Service.",third parties and online advertising
"Please note that opting-out of receiving interest-based advertising through the NAI's and DAA's online resources will only opt-out a user from receiving interest-based ads on that specific browser or device, but the user may still receive interest-based ads on his or her other devices and you must perform the opt-out on each browser or device you use.",third parties and online advertising
"we use YouTube to display video content on the Service and YouTube incorporates tracking technologies, which may be present in the YouTube videos embedded on the Service, which may collect information from your browser when you view the video on the Service, including device identifiers and/or cookie IDs and this information is collected directly and automatically by YouTube and its partners, and does not participate in these data transmissions and does not provide any Personal Information, such as user names, to YouTube.",third parties and online advertising
we provide you with the ability to pay for Content Offerings and other Services using a credit card through a third party payment processing service provider,third parties and online advertising
